[2024-01-01T14:30:37.241+0300][info][gc] Using The Z Garbage Collector
[2024-01-01T14:31:27.466+0300][info][gc] GC(85) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:27.866+0300][info][gc] GC(86) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:28.164+0300][info][gc] GC(87) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:28.265+0300][info][gc] GC(88) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:28.364+0300][info][gc] GC(89) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:28.465+0300][info][gc] GC(90) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:28.564+0300][info][gc] GC(91) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:28.664+0300][info][gc] GC(92) Garbage Collection (Allocation Rate) 10M(62%)->10M(62%)
[2024-01-01T14:31:28.866+0300][info][gc] GC(93) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:31:29.865+0300][info][gc] GC(94) Garbage Collection (Proactive) 12M(75%)->10M(62%)
[2024-01-01T14:31:30.867+0300][info][gc] GC(95) Garbage Collection (Proactive) 12M(75%)->10M(62%)
[2024-01-01T14:31:31.866+0300][info][gc] GC(96) Garbage Collection (Proactive) 12M(75%)->12M(75%)
[2024-01-01T14:31:46.870+0300][info][gc] GC(97) Garbage Collection (Allocation Rate) 14M(88%)->12M(75%)
[2024-01-01T14:31:46.968+0300][info][gc] GC(98) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.066+0300][info][gc] GC(99) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.167+0300][info][gc] GC(100) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.266+0300][info][gc] GC(101) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.368+0300][info][gc] GC(102) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.467+0300][info][gc] GC(103) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:47.568+0300][info][gc] GC(104) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
